Departamento,Poblacion_2024,Codigo_departamento,Region
Amazonas,87480,91,Amazónica
Antioquia,6951825,5,Andina
Arauca,320723,81,Orinoquía
Atlántico,2845169,8,Caribe
Bogotá,7937898,11,Andina
Bolívar,2278770,13,Caribe
Boyacá,1324122,15,Andina
Caldas,1051282,17,Andina
Caquetá,430884,18,Amazónica
Casanare,481938,85,Orinoquía
Cauca,1590171,19,Pacífica
Cesar,1414859,20,Caribe
Chocó,615082,27,Pacífica
Córdoba,1929336,23,Caribe
Cundinamarca,3657407,25,Andina
Guainía,59240,94,Amazónica
Guaviare,103237,95,Amazónica
Huila,1205318,41,Andina
La Guajira,1073851,44,Caribe
Magdalena,1529038,47,Caribe
Meta,1160351,50,Orinoquía
Nariño,1719281,52,Pacífica
Norte de Santander,1717992,54,Andina
Putumayo,393988,86,Amazónica
Quindío,568560,63,Andina
Risaralda,974639,66,Andina
San Andrés y Providencia,62181,88,Caribe
Santander,2393214,68,Andina
Sucre,1016826,70,Caribe
Tolima,1386826,73,Andina
Valle del Cauca,4652512,76,Pacífica
Vaupés,49142,97,Amazónica
Vichada,127467,99,Orinoquía
